[-1.00676076e+00 -1.87850096e-04 -3.19858895e-01 -3.21660871e+00
  5.67268357e-01  6.76094310e-01] -276.0655514745851
[ 0.75083329 -0.69412688  1.33901482 -3.54904849  3.32099926  0.67935267] -215.85390808192193
[ 0.84738312 -0.67262049  1.32186296 -3.54909704  3.27056416  0.75517291] -215.84589845241322
[ 0.80071688 -0.66796694  1.35676522 -3.60058252  3.29156925  0.74995309] -215.8442799835808
[ 0.78402138 -0.65851848  1.38301673 -3.64564445  3.29733993  0.7643408 ] -215.85553359991985
[ 0.81329448 -0.71167941  1.28464704 -3.59637478  3.28270349  0.71897733] -215.85480633048292
[ 0.81556882 -0.6649363   1.3497692  -3.55120277  3.28784778  0.74344683] -215.84347144065168
[ 0.79341978 -0.66046634  1.26271119 -3.56905023  3.27428637  0.77703675] -215.84512650200494
[ 0.8490865  -0.6825324   1.3985789  -3.53067366  3.24864869  0.70630315] -215.85223030798534
[ 0.79718724 -0.67111732  1.28763465 -3.57617894  3.29420083  0.75919388] -215.84226571520782
[ 0.81574036 -0.65108097  1.33092414 -3.6189923   3.30879653  0.81978108] -215.84686055929765
[ 0.81085161 -0.68165933  1.31571078 -3.54573528  3.27255762  0.72042635] -215.8433701109084
[ 0.76540209 -0.67332554  1.31765011 -3.59009095  3.29937485  0.74033409] -215.84668706354296
[ 0.82688786 -0.67279676  1.32080975 -3.55934552  3.27776683  0.7514632 ] -215.84304702608725
[ 0.79426609 -0.64795579  1.28518542 -3.55921751  3.27672108  0.76404258] -215.84102026391
[ 0.78109348 -0.62608774  1.25480403 -3.55141914  3.27040404  0.7778318 ] -215.8425592073539
[ 0.82173972 -0.67501113  1.37591382 -3.56170395  3.29260142  0.71913856] -215.8434469878046
[ 0.82145023 -0.66985861  1.28824265 -3.51721214  3.27566261  0.73595071] -215.8466155513969
[ 0.80590022 -0.66843985  1.33963458 -3.57973992  3.28759259  0.74645249] -215.84194288828112
[ 0.80337542 -0.67405709  1.29186046 -3.57610428  3.279299    0.74345886] -215.84274963692798
[ 0.7910831  -0.66366425  1.23769806 -3.5704032   3.27011123  0.77587389] -215.84953278075508
[ 0.81407556 -0.67217441  1.34135988 -3.56387876  3.28697887  0.73332239] -215.84157341656706
[ 0.80304586 -0.65385441  1.3064508  -3.59241969  3.29496211  0.77888478] -215.84085383494875
[ 0.79914298 -0.63995194  1.30182081 -3.6157619   3.30616436  0.808114  ] -215.84201513767897
[ 0.77906226 -0.65640287  1.29656551 -3.58983418  3.29548466  0.75698845] -215.84057929220663
[ 0.75514947 -0.64820592  1.28444339 -3.60507851  3.30434358  0.75975108] -215.84394533413905
[ 0.79447032 -0.64925779  1.32708315 -3.57765206  3.29934771  0.76950267] -215.84112631451177
[ 0.79975287 -0.64491105  1.34445846 -3.57806844  3.28616151  0.75720391] -215.83971118783657
[ 0.80103568 -0.63180792  1.37287036 -3.57901319  3.28214185  0.75620893] -215.84035770301023
[ 0.78899077 -0.63974558  1.29406649 -3.57395029  3.29229273  0.7735291 ] -215.83977440693897
[ 0.77245383 -0.62520142  1.27657673 -3.59316863  3.29467773  0.80006144] -215.84171728686832
[ 0.80367013 -0.66043116  1.32516409 -3.57120123  3.28890359  0.75000716] -215.8402658927638
[ 0.79512567 -0.6518425   1.29021377 -3.57724505  3.27882752  0.75738266] -215.84025975137604
[ 0.79561643 -0.65444007  1.33378763 -3.60168879  3.3021563   0.76062278] -215.83959916916464
[ 0.7962916  -0.65768221  1.35808873 -3.62292443  3.31487391  0.75891288] -215.8409901019028
[ 0.78436019 -0.64873667  1.32163452 -3.5715763   3.28631332  0.73969324] -215.839207483755
[ 0.77501735 -0.6461778   1.32922638 -3.56115461  3.28198893  0.72009747] -215.84025078999457
[ 0.81010975 -0.64363281  1.33987614 -3.56807585  3.28273366  0.7558245 ] -215.8390111017235
[ 0.8256335  -0.63724779  1.36153146 -3.55719669  3.27635815  0.75524252] -215.84019789080804
[ 0.78764843 -0.63400507  1.31618158 -3.58566701  3.28725809  0.76474491] -215.8382048196004
[ 0.77963758 -0.62079202  1.31169033 -3.5928999   3.28643534  0.77211379] -215.83814669994405
[ 0.79103019 -0.63224357  1.35829075 -3.58484147  3.2998701   0.76227978] -215.83934511589834
[ 0.7978449  -0.64183982  1.37584611 -3.59176663  3.28893068  0.74238356] -215.84042403517032
[ 0.7912043  -0.64026914  1.3145114  -3.57840438  3.29145222  0.76574272] -215.83875726025366
[ 0.78423328 -0.63512704  1.3154718  -3.58776046  3.29682547  0.76155502] -215.83737404422334
[ 0.77647348 -0.63023504  1.30097847 -3.59260647  3.30215745  0.76373058] -215.83680910996088
[ 0.78198874 -0.61752968  1.31520624 -3.56111267  3.28083107  0.75917209] -215.83816096359666
[ 0.78356116 -0.63482155  1.27634161 -3.57005039  3.27677092  0.75647919] -215.83882225547487
[ 0.78996482 -0.61369007  1.29790021 -3.58280692  3.28714689  0.78466104] -215.83717912448097
[ 0.75750027 -0.60881302  1.26566661 -3.59121772  3.29219764  0.77814197] -215.83939228921363
[ 0.79695738 -0.63492786  1.32132376 -3.57386132  3.28509965  0.76140387] -215.837790427303
[ 0.78851428 -0.61765973  1.34419518 -3.5905135   3.30093663  0.77912884] -215.83850166889707
[ 0.77997446 -0.60467566  1.31592    -3.58619589  3.28941679  0.77432735] -215.8362137643149
[ 0.77435954 -0.58687892  1.31662429 -3.59009164  3.28839908  0.77861966] -215.83574290325666
[ 0.77794624 -0.6170248   1.27704591 -3.57394614  3.2757532   0.7607715 ] -215.83759582984644
[ 0.78312428 -0.61698656  1.29331475 -3.60762479  3.29416614  0.78126139] -215.83653395195086
[ 0.78663766 -0.61245573  1.29070547 -3.58074586  3.29113879  0.77136889] -215.83538650926508
[ 0.79013771 -0.60828759  1.28021304 -3.57466884  3.29349052  0.77099644] -215.83541139914794
[ 0.76587796 -0.59082917  1.27086594 -3.60207929  3.29448753  0.78540049] -215.83595018010044
[ 0.78086634 -0.60000036  1.3130838  -3.61137218  3.31007876  0.79424252] -215.83614650798106
[ 0.76581494 -0.59877185  1.2972907  -3.61203316  3.30632903  0.7735468 ] -215.83427419346867
[ 0.75374    -0.59131274  1.29698594 -3.62664628  3.31592009  0.76798968] -215.83388008980387
[ 0.77172844 -0.56925279  1.2928816  -3.61358021  3.29590602  0.79589697] -215.8343557465409
[ 0.76127904 -0.56659001  1.30040093 -3.60054702  3.30447729  0.78324467] -215.83515862239545
[ 0.75700787 -0.57243943  1.27640426 -3.59319125  3.28669751  0.7665976 ] -215.83519004712764
[ 0.76903956 -0.5754807   1.32046822 -3.59952147  3.29969206  0.769172  ] -215.83327664712823
[ 0.77062036 -0.56780646  1.34526937 -3.59824256  3.30229432  0.76105776] -215.8333877896836
[ 0.75878465 -0.57563155  1.27599118 -3.61465239  3.30954484  0.77280361] -215.832563669269
[ 0.75099721 -0.57000787  1.25567462 -3.62693276  3.32011772  0.76989559] -215.83211858930082
[ 0.73462637 -0.53590545  1.29023306 -3.6393938   3.31646477  0.77956328] -215.83509075262873
[ 0.75679567 -0.56374376  1.30914386 -3.64234926  3.33082847  0.78865646] -215.83357003738757
[ 0.75103004 -0.56864442  1.2880615  -3.64892757  3.32183242  0.77381331] -215.8322714973734
[ 0.7831506  -0.61024198  1.29750553 -3.61325871  3.31163416  0.77557806] -215.83363571272753
[ 0.74985592 -0.5905577   1.2963983  -3.63896514  3.33743562  0.75247139] -215.8316860348702
[ 0.73891965 -0.60121015  1.29815665 -3.6516576   3.35820043  0.73075861] -215.83272795096988
[ 0.76654967 -0.56824607  1.29209807 -3.63000536  3.3245934   0.77520593] -215.83076043238015
[ 0.7729545  -0.55671273  1.28965414 -3.6316849   3.32893005  0.77881405] -215.83066837143568
[ 0.73374036 -0.53147375  1.28896136 -3.64953499  3.33464462  0.76869621] -215.8324382679891
[ 0.7524102  -0.5672153   1.27059552 -3.62283968  3.31672236  0.7489644 ] -215.8294648217719
[ 0.75021746 -0.56895107  1.25132135 -3.61308489  3.3096693   0.72911837] -215.82905870983205
[ 0.73389227 -0.55330181  1.2362222  -3.67018862  3.35118452  0.75509764] -215.83113205178532
[ 0.7692421  -0.60458478  1.25014935 -3.62705964  3.32174526  0.75104057] -215.8307952613594
[ 0.75802311 -0.57939423  1.23841181 -3.62037774  3.3345284   0.73833256] -215.83058626473195
[ 0.76039792 -0.58115957  1.26504442 -3.64018755  3.34104666  0.73172928] -215.8274803720917
[ 0.76509827 -0.58673542  1.26972932 -3.64681494  3.35151114  0.71264612] -215.8265819998704
[ 0.76661999 -0.55933566  1.21543109 -3.63077177  3.3284206   0.73587838] -215.82718889436092
