[-0.82070092 -0.93912378 -0.5227346   0.54200774  0.07247402  0.42810327] -304.04454827681195
[ 6.40117953 -0.33054681  3.19981108  4.58444155  4.33058231 -0.85127038] -238.51549114241237
[ 6.58775986 -0.22995653  3.541779    4.70724008  4.51716458 -0.68683394] -238.54343206289363
[ 6.18518616 -0.63591085  2.6759395   4.70085835  4.53900103 -0.80558822] -238.46639585125584
[ 6.13612722 -0.82766167  2.47402779  4.89482194  4.86130411 -0.64228899] -238.60199196018635
[ 6.29441021 -0.84422361  2.35365443  5.04547436  4.85439732 -0.75762448] -238.91650949847238
[ 6.2650218  -0.68118022  2.57037103  4.82196851  4.59554779 -0.83984582] -238.65496988161135
[ 6.53967965 -0.2775956   2.51377496  4.90669134  4.86512242 -0.68269519] -238.85736609949276
[ 6.14612925 -0.6238766   2.83186349  4.54404853  4.2201     -0.98145441] -238.64394656957384
[ 6.15626152 -0.44362932  2.96501939  4.86734744  4.82488036 -1.00206714] -238.69634070770763
[ 6.03453584 -0.4662409   2.87535309  4.62067779  4.2735663  -0.86235108] -238.3512007305447
[ 5.86088448 -0.43266644  2.94392024  4.54901122  4.0671119  -0.80964399] -238.37839544303128
[ 6.30075971 -0.77671322  3.10840802  4.74437899  4.55787993 -0.77073594] -238.33021400897982
[ 6.40346707 -1.02319566  3.36375644  4.79886761  4.65181356 -0.65104237] -238.34131085782232
[ 6.28800924 -0.72786021  2.78889601  4.4714438   4.0140121  -0.70168148] -238.50327839751628
[ 6.18691145 -0.50586931  3.25638603  4.39998116  4.04949943 -0.81784802] -238.39256623386368
[ 6.31939807 -0.52383717  3.13640109  4.62987867  4.36808037 -0.62170396] -238.06292273170337
[ 6.40603248 -0.47381746  3.28866989  4.67279374  4.44207055 -0.44182873] -237.85248125056182
[ 6.06596543 -0.86492384  2.7980731   4.61893639  4.2947608  -0.61540744] -238.24639009745505
[ 6.10512112 -0.51329831  3.2120472   4.78109834  4.70491392 -0.73623833] -238.25102722104353
[ 6.18125585 -0.56437683  3.50370628  4.57843046  4.23522928 -0.60921496] -238.10708851851464
[ 6.17764536 -0.71392088  3.00569983  4.93879074  4.78664083 -0.52741081] -237.98135616534086
[ 6.37772414 -0.83610928  3.43018168  4.82413177  4.7335988  -0.37126099] -237.88126155927662
[ 6.13715508 -0.54543565  3.30438464  4.72701483  4.50785813 -0.32971782] -237.69289220707373
[ 6.05535276 -0.42979686  3.40237295  4.71833275  4.48284723 -0.10920875] -237.6259300117748
[ 6.31620422 -0.78101674  3.26418738  4.66937361  4.28680191 -0.15520557] -237.60685566631574
[ 6.42174577 -0.91487595  3.29025747  4.61351124  4.07774591  0.13531081] -237.64420350209988
[ 6.43877284 -0.40142218  3.83353291  4.84834797  4.69430207 -0.12263583] -237.70048721935666
[ 6.40932142 -0.64765096  3.23784193  4.9788264   4.90685785  0.03336473] -237.37281235570006
[ 6.5233542  -0.68928802  3.10490975  5.17902437  5.24267214  0.35465458] -237.29111452748506
[ 6.52816818 -0.48989597  3.76891835  4.69854399  4.50745674  0.24558238] -237.373073813617
[ 6.37823742 -0.25230313  3.45734873  4.77134038  4.48511808  0.29504701] -237.2799079514807
[6.37849406 0.03959995 3.47093225 4.74494468 4.36087772 0.62820101] -237.48335165514047
[ 6.34066406 -0.54075684  3.6550868   4.95552728  4.7909955   0.61124   ] -237.18984051657878
[ 6.30797986 -0.57422653  3.83829525  5.09689404  4.96545798  1.13777437] -237.45526466690913
[ 6.27522078 -0.65959701  3.05074175  4.81569949  4.57099513  0.53667238] -237.16201236270143
[ 6.19344475 -0.78868442  2.65934617  4.79937526  4.50934167  0.86632649] -237.47819292053077
[ 6.7319302  -0.70782238  3.36469131  4.97817029  4.8118326   0.73853902] -237.26243023671276
[ 6.60965406 -0.33220438  3.53637819  5.13006166  5.18288815  1.0824507 ] -237.04499205353216
[ 6.75637898 -0.1077982   3.67247359  5.36040569  5.63093128  1.70127883] -237.44308398383384
[ 6.42485206 -0.57076128  2.95413382  5.2447305   5.18737713  0.96061885] -237.10638209677268
[ 6.39683199 -0.33186031  3.56788378  4.78615216  4.43373006  1.05353474] -237.19055751290557
[ 6.54814696 -0.79536427  3.25228981  5.19877342  5.17415478  1.36597155] -237.24349243051094
[ 6.13319311 -0.36902565  3.30748007  5.06547788  4.96821432  1.13162373] -237.39426425608988
[ 6.58224592 -0.62312319  3.3503885   4.99999719  4.85092803  0.8368102 ] -237.0559351100258
[ 6.32834266 -0.22407007  3.45258113  4.77861601  4.49814989  0.32780407] -237.26613676598296
[ 6.49319589 -0.65254072  3.30236264  5.09373407  5.00515356  1.10642968] -237.0607759662635
[ 6.51177893 -0.79446749  3.04848012  5.29376457  5.42904911  0.65787253] -237.30657825045168
[ 6.42556873 -0.44751211  3.43803286  4.91305526  4.68255982  0.95461919] -237.03756939101063
[ 6.59624842 -0.55448939  2.88892579  5.11023211  5.03563844  1.214627  ] -237.22072907883916
[ 6.40456015 -0.54418998  3.46354655  4.99420349  4.85215624  0.76208675] -237.04476089522652
[ 6.70480482 -0.39718021  3.63087244  5.30956123  5.34935918  1.36433274] -237.2341267144023
[ 6.38261679 -0.59399281  3.19577442  4.93916493  4.76558614  0.74358747] -237.03766910146842
[ 6.54109512 -0.49375978  3.80802723  4.77867503  4.59238019  0.86804248] -237.2145871415992
[ 6.45391282 -0.5515109   3.16760717  5.12821663  5.03862789  0.93747476] -237.0149713127261
[ 6.45965694 -0.37830374  3.41487992  4.94116565  4.78576187  0.66591334] -237.03737135182755
[ 6.32974391 -0.32611478  3.3883512   5.01529202  4.91826534  0.87856721] -237.07620790902072
[ 6.51912042 -0.54887109  3.35987917  5.0038209   4.86776236  0.84724945] -237.01001627298743
[ 6.27215789 -0.68925583  3.14352851  4.84314729  4.48126329  0.55452629] -237.1139660499557
[ 6.52528002 -0.42146724  3.43816577  5.05833307  5.00748194  0.9504696 ] -237.00309188153048
[ 6.51749175 -0.43636265  3.20789989  5.00038199  4.86377044  0.93768451] -237.00390623371345
[ 6.58439344 -0.33401644  3.47971384  5.07582624  4.98306863  1.02088281] -237.06120812232408
[ 6.43306095 -0.52899872  3.26675928  4.97333026  4.81995677  0.81291131] -237.00322627011525
[ 6.54393891 -0.50765934  3.1803642   5.12202757  5.11189393  0.76261513] -237.04053400471886
[ 6.45516127 -0.46254892  3.3736157   4.96529834  4.78989335  0.90661817] -237.00440100403063
