[-0.34796753  1.28843049 -0.19118626 -1.01138847  0.13101413 -0.89484858] -288.52952248070915
[ 3.53495394 -0.24628435  0.82200288  2.5355233   1.28242573 -0.81932187] -265.4733901705936
[ 3.57897733 -0.00706805  0.59056423  2.40081382  1.13191595 -0.82790209] -265.42166183826913
[ 3.53984953 -0.1700535   0.68713749  2.54590746  1.17765602 -0.8139528 ] -265.4186879935433
[ 3.65117638 -0.12461056  0.68422989  2.54216088  1.17994547 -0.79888152] -265.42014934394984
[ 3.50882217 -0.17911812  0.63723963  2.43030156  1.0990169  -0.71186876] -265.40177894585713
[ 3.44425306 -0.24356991  0.60920113  2.38243571  1.0310541  -0.620183  ] -265.4302757174264
[ 3.60276065 -0.05199358  0.60295093  2.45079585  1.20984746 -0.78616054] -265.397032486769
[ 3.63652999  0.01090154  0.55191945  2.43282897  1.25585211 -0.78240152] -265.4214633217004
[ 3.5852518  -0.11039881  0.68277345  2.5757782   1.22041572 -0.81386053] -265.399790071307
[ 3.57360424 -0.24030669  0.7425769   2.61729524  1.25091399 -0.75230199] -265.3986116287465
[ 3.47554782 -0.16132956  0.66836024  2.50099297  1.22654065 -0.76579605] -265.4143602102019
[ 3.56544076 -0.11297864  0.65919356  2.48227489  1.24512497 -0.73467253] -265.38550800544715
[ 3.57823638 -0.08444122  0.64522159  2.4504586   1.27885945 -0.6950324 ] -265.41514302255473
[ 3.65970679 -0.10558561  0.67491524  2.52095002  1.20243512 -0.77245476] -265.3934052711287
[ 3.59531128 -0.16084416  0.62812458  2.51641535  1.14764313 -0.70788494] -265.3807563517831
[ 3.60802482 -0.1882914   0.58964088  2.5199314   1.09066057 -0.65388335] -265.40891146432085
[ 3.685203   -0.08158438  0.69293859  2.62420162  1.32644323 -0.81057633] -265.3910955512943
[ 3.64209045 -0.14069888  0.65079315  2.49486613  1.24038691 -0.70748983] -265.3825819296828
[ 3.67656674  0.02241161  0.56039512  2.41253937  1.20637962 -0.75411099] -265.4144715236848
[ 3.59934487 -0.17462712  0.69703145  2.56610628  1.2397804  -0.75275424] -265.37841964239504
[ 3.64627173 -0.20677935  0.73138126  2.61747558  1.25742379 -0.70911701] -265.37248176945025
[ 3.66802726 -0.28417223  0.79559642  2.70081544  1.28121195 -0.67059524] -265.3997247158418
[ 3.58484724 -0.18691857  0.67823896  2.57949659  1.28316569 -0.7017102 ] -265.36447645888023
[ 3.54741746 -0.22758504  0.67990081  2.60876988  1.32353098 -0.66633791] -265.3820996766472
[ 3.5258991  -0.24603119  0.65531573  2.46134331  1.14473173 -0.62729991] -265.391147363093
[ 3.64537703 -0.12269608  0.68353288  2.58348705  1.28101536 -0.76475723] -265.3719716636002
[ 3.67230676 -0.21787607  0.69717387  2.63700743  1.23801346 -0.71323195] -265.39808307630705
[ 3.59215726 -0.139203    0.66868864  2.52095803  1.24334709 -0.72931238] -265.3697548696648
[ 3.57901269 -0.18965721  0.71153943  2.63311349  1.24373824 -0.74768883] -265.3881670913229
[ 3.62632101 -0.15293846  0.66597972  2.52942797  1.24122475 -0.71753958] -265.36958229018205
[ 3.63612843 -0.1668767   0.74682639  2.61590182  1.3676759  -0.75051194] -265.391661011853
[ 3.60551557 -0.16235229  0.65780003  2.54128696  1.20265132 -0.71854169] -265.368516999056
[ 3.63415174 -0.14900213  0.66484237  2.55793778  1.26316227 -0.69423846] -265.35381627604124
[ 3.65155518 -0.13618964  0.64874783  2.55385354  1.27485321 -0.66498056] -265.3469943647024
[ 3.58898603 -0.09332     0.60294809  2.48536113  1.25132868 -0.72316354] -265.37910629912477
[ 3.6319503  -0.17841451  0.69927297  2.58444697  1.25590001 -0.71262864] -265.3631551141998
[ 3.58540516 -0.19597608  0.65604317  2.51966964  1.21936533 -0.65014712] -265.36049954627487
[ 3.63637422 -0.19839352  0.66667226  2.5817692   1.24903968 -0.65920355] -265.35190158948626
[ 3.60556155 -0.19980974  0.66961202  2.59074633  1.253767   -0.651531  ] -265.3445950059078
[ 3.59518182 -0.22324537  0.67142816  2.62140551  1.26003813 -0.61852672] -265.3386571564704
[ 3.62292241 -0.2106936   0.68233442  2.60559352  1.31146937 -0.61719057] -265.3462201380909
[ 3.65628246 -0.19405234  0.66326065  2.57608286  1.24038955 -0.60584886] -265.338827476721
[ 3.61729011 -0.207769    0.63022253  2.56834445  1.26248508 -0.55933715] -265.3355828286133
[ 3.60996002 -0.22244625  0.59569731  2.5602932   1.26577761 -0.48269141] -265.34189082616444
[ 3.67446358 -0.19413842  0.66484545  2.64934672  1.313393   -0.59154868] -265.32679588893734
[ 3.71899279 -0.19321958  0.66924658  2.71418526  1.36040684 -0.56224946] -265.3267583238802
[ 3.65103404 -0.18999633  0.65507447  2.63138585  1.32084105 -0.55017423] -265.31765512127976
[ 3.65836394 -0.18579774  0.64927557  2.65619417  1.35674173 -0.49565957] -265.31077358889746
[ 3.63812266 -0.26873624  0.67317481  2.69341506  1.32232369 -0.48795688] -265.3214903032117
[ 3.67182219 -0.21357983  0.63653501  2.67094892  1.28932564 -0.49266897] -265.31024048164034
[ 3.69627208 -0.21502294  0.61363531  2.70362662  1.27825378 -0.43040817] -265.3166022592634
[ 3.64364204 -0.23673025  0.64670024  2.7320816   1.37671749 -0.46628406] -265.3139835469973
[ 3.72089609 -0.21203218  0.63029008  2.72365098  1.39596202 -0.40285865] -265.31037931627134
[ 3.73332313 -0.2289296   0.67151823  2.82848087  1.43800739 -0.40988871] -265.320620795193
[ 3.63639723 -0.25538236  0.6332514   2.7207386   1.36595248 -0.35618949] -265.3119771978843
[ 3.71669221 -0.17541441  0.61601537  2.75061666  1.41857856 -0.38655961] -265.297569887468
[ 3.75597699 -0.1287535   0.58743566  2.77921746  1.466706   -0.33586097] -265.3006843310408
[ 3.61594811 -0.19738265  0.59917099  2.5895961   1.29641858 -0.45685141] -265.32362200911786
[ 3.70397937 -0.22104287  0.65343142  2.76875968  1.40261019 -0.42162939] -265.3069776125055
[ 3.72574164 -0.18435288  0.62623272  2.69822141  1.36633939 -0.38557117] -265.2978791021467
[ 3.76276792 -0.14202427  0.63734199  2.70205867  1.37723336 -0.50545963] -265.31442283541594
[ 3.6679899  -0.22704284  0.63427405  2.71606862  1.3687727  -0.39350702] -265.3027624624171
[ 3.74400986 -0.22535726  0.61631732  2.78656125  1.39045444 -0.3319387 ] -265.31221130948893
[ 3.67977542 -0.19568762  0.64103601  2.68878594  1.36516991 -0.45472935] -265.3026314227277
[ 3.66777082 -0.19367464  0.63888478  2.70748277  1.34097011 -0.44202985] -265.29197962406886
[ 3.64120818 -0.18449587  0.64318212  2.69939866  1.31347415 -0.46161545] -265.2907343070354
[ 3.70664006 -0.18243233  0.63485555  2.76966807  1.45565599 -0.34186835] -265.30552779583076
[ 3.67536977 -0.16209912  0.61176718  2.67216011  1.36005338 -0.38632093] -265.29070773293853
[ 3.66106496 -0.13262725  0.59093506  2.62386032  1.33877497 -0.36866671] -265.29551734996255
[ 3.66228565 -0.19393191  0.62264693  2.63874906  1.27514004 -0.48089949] -265.3026886509969
[ 3.69903439 -0.13828443  0.61935273  2.66657533  1.33081244 -0.45839164] -265.2867298198001
[ 3.71455663 -0.09390523  0.61189207  2.64182868  1.31183231 -0.49083395] -265.2883075129483
[ 3.71698822 -0.1528462   0.62988178  2.75317031  1.44300257 -0.36349656] -265.29541059214125
[ 3.71190271 -0.13681002  0.60777463  2.72459488  1.37891692 -0.35925577] -265.2784057839166
