[-0.72969944  0.99364956  1.1236009   1.22751645 -1.82805627 -0.60346769] -295.36006857938304
[ 2.88540411  0.96929777  0.60139674  1.5430452   2.12676369 -1.97634782] -224.4931672609422
[ 2.83542834  1.05441068  0.42709585  1.48114987  2.05927088 -1.99823657] -224.51969128088953
[ 2.93544636  1.00888088  1.01347158  1.61809758  2.16676128 -2.03185713] -224.54556649980685
[ 2.86030997  1.18626956  0.86602733  1.46562503  2.14571124 -2.11175431] -224.517786297333
[ 2.88215909  0.96465276  0.58270271  1.50028125  2.17791466 -1.98098299] -224.5358965077608
[ 2.89548091  0.97570979  0.69039493  1.52973533  2.17512631 -1.99370153] -224.50328220175842
[ 2.81527468  1.07055929  0.53090762  1.47167262  2.09413288 -1.97935351] -224.51955354737342
[ 2.70968843  1.039748    0.64155719  1.40266625  2.04799482 -1.99147084] -224.51987163618986
[ 2.76514509  0.99869297  0.53033928  1.38726894  2.04707678 -2.18700098] -224.52364743277525
[ 2.86393965  1.01987898  0.75328759  1.53691158  2.1517303  -1.93708099] -224.49870681126086
[ 3.00374491  0.97926294  0.75362924  1.61614359  2.22027525 -2.03117453] -224.5187731617153
[ 2.96098207  0.91801954  0.93851935  1.59529421  2.21618465 -2.06056553] -224.51933236870485
[ 2.92455522  0.95615447  0.83661642  1.56438881  2.18567171 -2.04026252] -224.4978292278869
[ 2.74611528  1.00161306  0.74346012  1.43357165  2.07850776 -2.01177384] -224.50592896661624
[ 2.85148532  0.73305427  0.59020631  1.57340574  2.13067062 -1.89786724] -224.56194851062915
[ 2.85810381  1.07296574  0.79707207  1.49257021  2.14195108 -2.05828254] -224.49257519854197
[ 2.90464229  1.16322249  0.73053085  1.52396783  2.17523782 -1.93611848] -224.49479646605982
[ 3.03126005  1.05079669  0.72630607  1.62996801  2.2403192  -1.96882412] -224.52199700593758
[ 2.81740147  1.01390897  0.73917161  1.48267074  2.11896062 -2.00103641] -224.4931527803788
[ 2.85586795  1.08943302  0.79563017  1.51811612  2.12497876 -1.98934139] -224.48644797386063
[ 2.83606147  1.14629464  0.84824779  1.51230652  2.09990498 -1.98716133] -224.50471655630378
[ 2.88471863  1.06844851  0.7468517   1.50467472  2.1394576  -2.06338206] -224.47383540674667
[ 2.89510812  1.09273328  0.74363376  1.4885563   2.13332125 -2.1265326 ] -224.47095887433272
[ 2.81428736  1.17769928  0.63252865  1.45191999  2.08806603 -1.98895722] -224.48999567421376
[ 2.80408198  0.97545686  0.70594682  1.46832502  2.06944266 -2.11071418] -224.48338351821187
[ 2.79621278  1.17143461  0.86993095  1.42434093  2.09880978 -2.11527363] -224.51488042271453
[ 2.86310628  1.01983198  0.66853029  1.51336913  2.11977521 -2.01107927] -224.47891471792167
[ 2.87945036  1.12879775  0.70860897  1.49494819  2.10688437 -2.09393266] -224.47836788891502
[ 2.84586354  1.08835165  0.62122081  1.48584137  2.07220501 -2.0485699 ] -224.4711344178742
[ 2.90020538  0.95383557  0.78199496  1.53779872  2.12080306 -2.13776611] -224.48399811503944
[ 2.87340395  0.99690267  0.61434837  1.47816345  2.08249843 -2.18685685] -224.48787350465125
[ 2.86025195  1.06630043  0.75030972  1.50812796  2.11435868 -2.03872026] -224.47494604511402
[ 2.81574869  1.16998842  0.61742183  1.4485906   2.084526   -2.00541684] -224.48657664335659
[ 2.87909121  1.00787378  0.74085168  1.51549669  2.11173379 -2.10467879] -224.47411707284803
[ 2.93687517  1.15917277  0.70510493  1.53378819  2.14998344 -2.03045697] -224.47489186240134
[ 2.90244051  1.16124457  0.754713    1.49555043  2.1097203  -2.13655112] -224.477289654558
[ 2.89375981  1.06309441  0.73000233  1.51417213  2.12355645 -2.06790389] -224.46136054215063
[ 2.90091453  1.03024274  0.740699    1.5237841   2.13189249 -2.05488951] -224.4554088219427
[ 2.870261    0.98698031  0.67922697  1.5229811   2.12811125 -1.99806489] -224.47588267347672
[ 2.87830588  1.03054637  0.69809848  1.51612343  2.12351351 -2.03268645] -224.46821328838897
[ 2.91846754  1.07000643  0.6662265   1.51306874  2.12652449 -2.09388448] -224.46283231695432
[ 2.83570844  0.94741198  0.69847181  1.48050202  2.08308007 -2.12329027] -224.47046371189597
[ 2.87903147  1.07855704  0.64859845  1.48712863  2.11177848 -2.05527227] -224.45429664784257
[ 2.8790016   1.11389867  0.60247183  1.4729446   2.11180083 -2.03056901] -224.4515678660267
[ 2.92330516  1.00659484  0.76197965  1.51248502  2.16450587 -2.10538087] -224.46428384260724
[ 2.88345959  0.9735004   0.645682    1.51774634  2.11378451 -2.0203676 ] -224.45320640431288
[ 2.95877633  1.12751783  0.67324734  1.53821539  2.17426049 -1.98930237] -224.45983773722875
[ 2.94300238  1.07670726  0.66533696  1.50995796  2.15074271 -2.06544483] -224.44220333925617
[ 2.97535062  1.0997877   0.6489562   1.50687523  2.16435731 -2.08182402] -224.43657766618347
[ 2.91535158  1.13172308  0.56378131  1.51172644  2.10970084 -1.98489813] -224.4537719417154
[ 2.91915055  1.08888371  0.62538606  1.51069529  2.14207433 -1.96006573] -224.43552585241164
[ 2.91949205  1.09832235  0.60496584  1.50950857  2.14984925 -1.89315635] -224.43293725814115
[ 2.86574699  1.02164048  0.59560472  1.4759797   2.08620125 -2.03259917] -224.4285761360662
[ 2.81923232  0.96870181  0.55678342  1.44486185  2.04217163 -2.05424757] -224.42686773936634
[ 2.89638139  1.09840193  0.46684786  1.46410357  2.09866229 -1.96679805] -224.43835480464048
[ 2.87562095  0.98581454  0.61145441  1.46028695  2.11717444 -2.03075607] -224.42770224489354
[ 2.90490005  1.14814194  0.51814452  1.43511392  2.11422074 -1.99874943] -224.4143334840955
[ 2.91562029  1.2354627   0.45437578  1.3937977   2.11443886 -1.98794034] -224.42037934983873
[ 2.91799086  1.01915809  0.53324559  1.46730543  2.11701106 -1.97794149] -224.3976356429536
[ 2.93748549  0.9717878   0.49863247  1.46448585  2.11961618 -1.95162773] -224.38688857035459
